Date,Silver_PKR_per_Ounce
2017-01-02,1669.48
2017-01-03,1705.93
2017-01-04,1718.27
2017-01-05,1722.06
2017-01-06,1728.67
2017-01-09,1728.37
2017-01-10,1757.62
2017-01-11,1747.06
2017-01-12,1766.06
2017-01-13,1762.0
2017-01-16,1761.6
2017-01-17,1797.69
2017-01-18,1787.52
2017-01-19,1781.77
2017-01-20,1781.45
2017-01-23,1796.01
2017-01-24,1791.4
2017-01-25,1781.19
2017-01-26,1767.85
2017-01-27,1797.37
2017-01-30,1791.63
2017-01-31,1832.49
2017-02-01,1840.18
2017-02-02,1828.41
2017-02-03,1833.14
2017-02-06,1856.43
2017-02-07,1852.73
2017-02-08,1852.7
2017-02-09,1853.55
2017-02-10,1880.95
2017-02-13,1880.05
2017-02-14,1890.04
2017-02-15,1877.24
2017-02-16,1887.54
2017-02-17,1885.85
2017-02-20,1894.14
2017-02-21,1884.94
2017-02-22,1879.39
2017-02-23,1906.26
2017-02-24,1942.92
2017-02-27,1918.03
2017-02-28,1918.26
2017-03-01,1925.38
2017-03-02,1871.08
2017-03-03,1882.73
2017-03-06,1862.12
2017-03-07,1836.11
2017-03-08,1807.4
2017-03-09,1771.77
2017-03-10,1773.65
2017-03-13,1775.15
2017-03-14,1773.9
2017-03-15,1798.15
2017-03-16,1807.64
2017-03-17,1824.04
2017-03-20,1831.26
2017-03-21,1837.67
2017-03-22,1835.46
2017-03-23,1843.06
2017-03-24,1863.56
2017-03-27,1892.39
2017-03-28,1902.5
2017-03-29,1909.3
2017-03-30,1909.58
2017-03-31,1914.09
2017-04-03,1916.04
2017-04-04,1916.39
2017-04-05,1921.96
2017-04-06,1915.6
2017-04-07,1887.06
2017-04-10,1884.1
2017-04-11,1924.34
2017-04-12,1940.91
2017-04-13,1942.17
2017-04-14,1948.19
2017-04-17,1925.73
2017-04-18,1907.55
2017-04-19,1910.84
2017-04-20,1894.95
2017-04-21,1875.69
2017-04-24,1882.93
2017-04-25,1839.7
2017-04-26,1825.14
2017-04-27,1817.14
2017-04-28,1810.43
2017-05-01,1777.39
2017-05-02,1766.89
2017-05-03,1730.79
2017-05-04,1708.34
2017-05-05,1712.13
2017-05-08,1711.82
2017-05-09,1702.26
2017-05-10,1696.42
2017-05-11,1712.52
2017-05-12,1716.86
2017-05-15,1746.61
2017-05-16,1768.92
2017-05-17,1765.38
2017-05-18,1752.77
2017-05-19,1760.75
2017-05-22,1801.31
2017-05-23,1798.92
2017-05-24,1797.79
2017-05-25,1798.98
2017-05-26,1821.05
2017-05-29,1826.43
